Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","EdgeEntry::getEndPoint(void)","PushRelabel::updateLabels(bool)","7,062","7,062",22.29,22.29,
"Root","EdgeEntry::getFlow(void)","EdgeEntry::getFlow(void)",3,3,0.01,0.01,
"Caller","EdgeEntry::getFlow(void)","PushRelabel::findClosestPushBack(class Node *)",3,3,0.01,0.01,
"Root","EdgeEntry::getNext(void)","EdgeEntry::getNext(void)","2,850","2,850",9.00,9.00,
"Caller","EdgeEntry::getNext(void)","PushRelabel::discharge(class Node *)",246,246,0.78,0.78,
"Caller","EdgeEntry::getNext(void)","PushRelabel::relabel(class Node *)",54,54,0.17,0.17,
"Caller","EdgeEntry::getNext(void)","PushRelabel::updateLabels(bool)","2,550","2,550",8.05,8.05,
"Root","EdgeEntry::getResCapacity(void)","EdgeEntry::getResCapacity(void)",40,40,0.13,0.13,
"Caller","EdgeEntry::getResCapacity(void)","PushRelabel::discharge(class Node *)",15,15,0.05,0.05,
"Caller","EdgeEntry::getResCapacity(void)","PushRelabel::relabel(class Node *)",25,25,0.08,0.08,
"Root","EdgeEntry::incFlow(int)","EdgeEntry::incFlow(int)",96,96,0.30,0.30,
"Caller","EdgeEntry::incFlow(int)","EdgeEntry::push(int)",96,96,0.30,0.30,
"Root","EdgeEntry::isReverseEdge(void)","EdgeEntry::isReverseEdge(void)",2,1,0.01,0.00,
"Caller","EdgeEntry::isReverseEdge(void)","PushRelabel::findClosestPushBack(class Node *)",2,1,0.01,0.00,
"Callee","EdgeEntry::isReverseEdge(void)","EdgeEntry::getEndPoint(void)",1,1,0.00,0.00,
"Root","EdgeEntry::isSaturated(void)","EdgeEntry::isSaturated(void)",614,614,1.94,1.94,
"Caller","EdgeEntry::isSaturated(void)","PushRelabel::isAdmissible(class Node *,class EdgeEntry *)",614,614,1.94,1.94,
"Root","EdgeEntry::push(int)","EdgeEntry::push(int)",132,32,0.42,0.10,
